Property_ID,Location,BHK,Bathrooms,Furnishing_Status,Super_Builtup_Area,Carpet_Area,Property_Type,Age_of_Property,Floor,Total_Floors,Parking,Power_Backup,Gated_Security,Nearby_Metro,Nearby_School,Nearby_Hospital,Price_in_Lakhs
PROP0000,Golf Course Road,2,2,Unfurnished,823,659,Builder Floor,12,3,5,2,No,Yes,1.2,2.87,3.35,91.37
PROP0001,Palam Vihar,3,4,Unfurnished,4735,3912,Penthouse,4,7,8,0,No,No,1.36,1.06,1.77,835.1
PROP0002,DLF Phase 1,1,4,Semi-Furnished,4252,3508,Penthouse,4,15,19,0,No,Yes,2.45,2.89,3.45,580.91
PROP0003,Golf Course Road,5,4,Semi-Furnished,4198,3468,Builder Floor,9,9,16,0,Yes,Yes,1.9,2.71,0.2,740.14
PROP0004,Sector 57,5,2,Unfurnished,4514,3831,Penthouse,9,11,20,0,No,Yes,4.58,0.88,3.7,1114.32
PROP0005,DLF Phase 1,4,3,Unfurnished,3740,3162,Studio,6,11,20,2,No,No,1.9,2.43,2.49,331.69
PROP0006,DLF Phase 1,2,2,Fully-Furnished,1238,1000,Builder Floor,14,4,5,1,No,Yes,1.93,2.99,4.08,115.9
PROP0007,Golf Course Road,1,4,Fully-Furnished,2476,2026,Studio,6,15,20,2,No,No,1.98,0.83,4.78,270.05
PROP0008,Sector 56,2,2,Semi-Furnished,3837,3150,Studio,14,0,7,1,Yes,Yes,4.2,1.37,4.64,441.94
PROP0009,Sector 57,1,2,Fully-Furnished,1977,1617,Independent House,2,8,15,2,Yes,No,3.29,1.61,4.56,440.86
PROP0010,Golf Course Road,4,2,Fully-Furnished,3687,3096,Builder Floor,18,11,17,3,No,Yes,3.11,0.96,2.61,476.44
PROP0011,Sector 57,4,3,Fully-Furnished,902,745,Penthouse,9,4,8,3,Yes,No,1.74,0.14,1.86,272.06
PROP0012,Sector 57,5,1,Fully-Furnished,2085,1727,Studio,14,19,22,3,No,Yes,4.11,0.74,2.38,333.73
PROP0013,DLF Phase 1,2,1,Unfurnished,3106,2617,Independent House,2,2,11,3,No,No,0.29,0.92,3.48,386.49
PROP0014,Palam Vihar,5,2,Semi-Furnished,3454,2902,Builder Floor,5,4,8,0,No,No,4.37,1.39,4.43,504.57
PROP0015,Sector 57,2,1,Fully-Furnished,3223,2599,Builder Floor,11,1,9,0,Yes,Yes,2.61,0.6,1.11,601.09
PROP0016,Sushant Lok,5,1,Unfurnished,3730,3117,Apartment,14,13,14,2,No,No,2.05,2.63,4.6,334.4
PROP0017,DLF Phase 1,3,2,Unfurnished,825,677,Apartment,5,1,8,2,Yes,No,2.54,2.14,4.09,78.91
PROP0018,Sector 56,3,2,Unfurnished,1223,996,Studio,12,12,18,3,Yes,Yes,3.37,0.35,4.9,150.22
PROP0019,Palam Vihar,3,4,Fully-Furnished,4449,3570,Apartment,18,6,7,1,No,Yes,0.16,1.99,4.41,452.9
PROP0020,Sushant Lok,3,1,Fully-Furnished,3663,3019,Studio,2,9,13,3,Yes,No,4.37,2.0,1.47,425.68
PROP0021,Sushant Lok,1,3,Semi-Furnished,1274,1041,Penthouse,7,12,17,2,Yes,Yes,2.29,2.87,0.62,188.17
PROP0022,Sector 56,3,2,Fully-Furnished,4336,3523,Studio,7,15,23,3,No,Yes,1.78,0.11,0.65,745.88
PROP0023,Palam Vihar,4,4,Fully-Furnished,1817,1516,Apartment,19,13,17,2,Yes,Yes,0.78,0.82,1.53,208.59
PROP0024,DLF Phase 1,4,3,Unfurnished,2808,2354,Penthouse,14,10,13,3,Yes,No,2.25,2.79,3.11,350.42
PROP0025,Sector 45,1,1,Semi-Furnished,1409,1144,Apartment,3,9,11,1,No,No,2.53,2.8,4.04,211.45
PROP0026,Palam Vihar,3,4,Fully-Furnished,3782,3034,Studio,18,5,9,3,No,No,2.08,2.19,4.51,316.31
PROP0027,Sector 56,3,2,Fully-Furnished,3600,3032,Independent House,2,3,7,1,Yes,No,3.43,2.32,3.16,919.19
PROP0028,Sushant Lok,3,3,Unfurnished,1686,1349,Builder Floor,12,0,5,1,No,No,2.16,0.37,0.13,162.55
PROP0029,DLF Phase 1,5,2,Unfurnished,4426,3748,Apartment,7,6,13,2,No,No,4.81,1.59,1.01,439.31
PROP0030,Palam Vihar,2,1,Fully-Furnished,2485,2065,Studio,15,8,17,1,Yes,No,3.04,0.77,0.59,228.04
PROP0031,Sector 45,5,3,Semi-Furnished,2028,1655,Penthouse,12,7,9,0,Yes,Yes,4.06,0.63,1.88,561.36
PROP0032,Sector 45,2,1,Semi-Furnished,1439,1168,Apartment,2,4,9,0,No,No,0.64,2.45,2.56,254.94
PROP0033,Sector 57,3,1,Unfurnished,1917,1534,Apartment,15,18,27,0,Yes,No,2.05,0.49,0.31,256.09
PROP0034,Sector 57,3,4,Unfurnished,892,724,Builder Floor,8,9,12,2,No,Yes,1.75,1.46,1.81,154.37
PROP0035,Golf Course Road,5,2,Fully-Furnished,3249,2621,Studio,13,10,11,0,No,Yes,2.89,2.82,0.98,426.54
PROP0036,Sector 56,5,3,Unfurnished,4337,3602,Independent House,12,14,16,2,Yes,Yes,4.32,0.64,3.27,882.11
PROP0037,Palam Vihar,2,1,Fully-Furnished,3105,2509,Penthouse,6,5,11,2,Yes,No,0.48,2.94,2.37,604.75
PROP0038,Palam Vihar,4,1,Semi-Furnished,1720,1421,Studio,14,14,19,0,No,Yes,0.46,2.98,2.53,175.59
PROP0039,Golf Course Road,2,3,Semi-Furnished,941,780,Penthouse,6,4,5,1,No,No,4.27,1.71,2.2,165.82
PROP0040,Sushant Lok,5,1,Fully-Furnished,1701,1386,Apartment,5,18,19,3,No,No,1.14,0.59,4.78,237.52
PROP0041,Sushant Lok,5,4,Unfurnished,2547,2042,Builder Floor,1,18,22,2,No,No,3.38,1.02,1.15,350.11
PROP0042,Golf Course Road,1,4,Semi-Furnished,3990,3199,Builder Floor,8,9,13,0,Yes,Yes,2.76,1.33,2.63,513.56
PROP0043,Sushant Lok,5,4,Unfurnished,1588,1272,Independent House,16,11,17,2,No,Yes,4.18,1.0,3.71,179.98
PROP0044,Sector 57,1,4,Semi-Furnished,3823,3199,Builder Floor,4,3,9,1,Yes,No,0.71,0.91,2.83,685.66
PROP0045,Palam Vihar,4,1,Fully-Furnished,4441,3623,Apartment,11,17,23,1,Yes,No,0.74,2.92,4.65,579.44
PROP0046,Golf Course Road,2,3,Fully-Furnished,2706,2272,Independent House,0,15,16,0,No,No,2.83,0.54,1.95,536.11
PROP0047,Palam Vihar,2,3,Fully-Furnished,4250,3491,Studio,9,7,16,2,Yes,Yes,4.74,2.23,2.37,447.38
PROP0048,Sector 45,1,3,Semi-Furnished,3129,2574,Builder Floor,10,3,10,3,Yes,No,2.13,0.1,0.53,495.89
PROP0049,Sector 57,2,3,Unfurnished,3475,2869,Independent House,15,11,18,3,No,Yes,1.7,1.83,3.08,538.19
PROP0050,DLF Phase 1,5,2,Unfurnished,3010,2515,Apartment,13,1,8,2,Yes,No,3.07,2.76,1.51,275.59
PROP0051,Sector 57,3,3,Unfurnished,2745,2233,Penthouse,7,3,5,2,Yes,Yes,4.66,0.94,0.89,664.02
PROP0052,Golf Course Road,1,2,Semi-Furnished,1785,1438,Penthouse,16,4,6,2,No,No,4.2,0.64,2.77,224.26
PROP0053,DLF Phase 1,2,2,Semi-Furnished,2073,1716,Apartment,17,2,8,0,No,Yes,4.98,1.99,2.71,142.28
PROP0054,Sector 45,1,4,Semi-Furnished,2017,1646,Apartment,11,8,15,1,No,Yes,0.21,2.17,0.47,288.76
PROP0055,Golf Course Road,1,2,Semi-Furnished,3165,2602,Penthouse,16,17,20,3,No,Yes,0.65,2.1,3.52,439.86
PROP0056,Sector 56,3,1,Semi-Furnished,1303,1084,Independent House,13,10,14,0,No,Yes,3.09,1.03,3.16,239.93
PROP0057,Palam Vihar,5,2,Unfurnished,4650,3834,Penthouse,15,2,5,2,No,Yes,4.12,0.83,1.03,720.14
PROP0058,Sector 45,1,4,Semi-Furnished,3826,3179,Apartment,13,1,8,2,No,Yes,1.5,2.87,2.4,492.83
PROP0059,Palam Vihar,2,2,Semi-Furnished,2486,2056,Builder Floor,8,8,15,1,Yes,No,1.27,2.78,3.63,302.29
PROP0060,Sushant Lok,4,1,Unfurnished,1466,1227,Studio,3,13,17,2,Yes,No,3.96,1.43,2.69,150.05
PROP0061,Sector 56,1,1,Semi-Furnished,4504,3762,Builder Floor,10,3,10,0,No,No,0.38,2.55,2.04,644.11
PROP0062,Sector 56,1,1,Unfurnished,4259,3520,Builder Floor,5,8,13,0,Yes,No,1.91,1.41,1.68,643.67
